KPI,Site_ID,Sector_ID,Date,CPU_Utilization,Handover_Success_Rate,Call_Drop_Rate,Packet_Loss,Active_Users
CPU_Utilization,SITE_001,SITE_001_SECTOR_A,2024-01-07,17.748526409132218,,,,
CPU_Utilization,SITE_001,SITE_001_SECTOR_A,2024-01-10,74.02766907601888,,,,
CPU_Utilization,SITE_001,SITE_001_SECTOR_B,2024-02-06,34.084503186919456,,,,
CPU_Utilization,SITE_001,SITE_001_SECTOR_B,2024-02-14,34.37974103902233,,,,
CPU_Utilization,SITE_001,SITE_001_SECTOR_C,2024-01-27,24.32598480486107,,,,
CPU_Utilization,SITE_001,SITE_001_SECTOR_C,2024-01-31,46.64334510787104,,,,
CPU_Utilization,SITE_001,SITE_001_SECTOR_D,2024-01-20,14.007094386217958,,,,
CPU_Utilization,SITE_001,SITE_001_SECTOR_D,2024-01-21,32.56522867401088,,,,
CPU_Utilization,SITE_002,SITE_002_SECTOR_A,2024-02-14,36.07301031169582,,,,
CPU_Utilization,SITE_002,SITE_002_SECTOR_A,2024-02-24,12.910457548560933,,,,
CPU_Utilization,SITE_002,SITE_002_SECTOR_B,2024-01-27,3.269844441937213,,,,
CPU_Utilization,SITE_002,SITE_002_SECTOR_B,2024-02-07,42.42967445309016,,,,
CPU_Utilization,SITE_002,SITE_002_SECTOR_C,2024-01-17,17.31822613827704,,,,
CPU_Utilization,SITE_002,SITE_002_SECTOR_C,2024-02-04,15.16485409056462,,,,
CPU_Utilization,SITE_002,SITE_002_SECTOR_D,2024-02-07,65.29396572020909,,,,
CPU_Utilization,SITE_002,SITE_002_SECTOR_D,2024-02-24,40.56792573743866,,,,
CPU_Utilization,SITE_003,SITE_003_SECTOR_A,2024-02-07,32.62349100212328,,,,
CPU_Utilization,SITE_003,SITE_003_SECTOR_A,2024-02-24,10.789394309544235,,,,
CPU_Utilization,SITE_003,SITE_003_SECTOR_B,2024-02-24,54.664429531483584,,,,
CPU_Utilization,SITE_003,SITE_003_SECTOR_B,2024-02-28,79.4461661634546,,,,
CPU_Utilization,SITE_003,SITE_003_SECTOR_C,2024-02-07,72.44766572860394,,,,
